test	struct	rep	count	variable	value
remove	rdeque	4	2000	seconds	0.331033188
mix	rdeque	4	2000	seconds	0.273401668
insert	rpqueue	4	2000	seconds	0.696457213
remove	rpqueue	4	2000	seconds	0.745906664
mix	rpqueue	4	2000	seconds	0.736669119
insert	rstack	5	2000	seconds	0.065376717
remove	rstack	5	2000	seconds	0.10068816
mix	rstack	5	2000	seconds	0.075283778
insert	rdeque	5	2000	seconds	0.206944383
remove	rdeque	5	2000	seconds	0.324124132
mix	rdeque	5	2000	seconds	0.274438859
insert	rpqueue	5	2000	seconds	0.669807677
remove	rpqueue	5	2000	seconds	0.712926794
mix	rpqueue	5	2000	seconds	0.722527231
insert	rstack	6	2000	seconds	0.069763486
remove	rstack	6	2000	seconds	0.089469214
mix	rstack	6	2000	seconds	0.07473767
insert	rdeque	6	2000	seconds	0.202969863
remove	rdeque	6	2000	seconds	0.356653798
mix	rdeque	6	2000	seconds	0.273269349
insert	rpqueue	6	2000	seconds	0.676683932
remove	rpqueue	6	2000	seconds	0.724940938
mix	rpqueue	6	2000	seconds	0.730347983
insert	rstack	7	2000	seconds	0.069348716
remove	rstack	7	2000	seconds	0.08802488
mix	rstack	7	2000	seconds	0.079209905
insert	rdeque	7	2000	seconds	0.20436948
remove	rdeque	7	2000	seconds	0.333607891
mix	rdeque	7	2000	seconds	0.27061859
insert	rpqueue	7	2000	seconds	0.679912387
remove	rpqueue	7	2000	seconds	0.719896673
mix	rpqueue	7	2000	seconds	0.794653464
insert	rstack	8	2000	seconds	0.0649364
remove	rstack	8	2000	seconds	0.088154108
mix	rstack	8	2000	seconds	0.074226311
insert	rdeque	8	2000	seconds	0.205787559
remove	rdeque	8	2000	seconds	0.326679806
mix	rdeque	8	2000	seconds	0.271276051
insert	rpqueue	8	2000	seconds	0.680693335
remove	rpqueue	8	2000	seconds	0.739003939
mix	rpqueue	8	2000	seconds	0.734241118
insert	rstack	9	2000	seconds	0.068955412
remove	rstack	9	2000	seconds	0.088856181
mix	rstack	9	2000	seconds	0.082918172
insert	rdeque	9	2000	seconds	0.20972026
remove	rdeque	9	2000	seconds	0.347060185
mix	rdeque	9	2000	seconds	0.26401835
insert	rpqueue	9	2000	seconds	0.686854834
remove	rpqueue	9	2000	seconds	0.736530248
mix	rpqueue	9	2000	seconds	0.779934525
insert	rstack	10	2000	seconds	0.065528772
remove	rstack	10	2000	seconds	0.087982747
