test	struct	rep	count	variable	value
remove	rstack	8	7000	seconds	0.316015266
mix	rstack	8	7000	seconds	0.268447178
insert	rdeque	8	7000	seconds	0.695429166
remove	rdeque	8	7000	seconds	1.095586539
mix	rdeque	8	7000	seconds	0.855984853
insert	rpqueue	8	7000	seconds	2.525339328
remove	rpqueue	8	7000	seconds	2.326173511
mix	rpqueue	8	7000	seconds	2.458519537
insert	rstack	9	7000	seconds	0.235053092
remove	rstack	9	7000	seconds	0.326325834
mix	rstack	9	7000	seconds	0.268380122
insert	rdeque	9	7000	seconds	0.701072149
remove	rdeque	9	7000	seconds	1.095534698
mix	rdeque	9	7000	seconds	0.855325335
insert	rpqueue	9	7000	seconds	2.509951614
remove	rpqueue	9	7000	seconds	2.417761993
mix	rpqueue	9	7000	seconds	2.448995525
insert	rstack	10	7000	seconds	0.23682011
remove	rstack	10	7000	seconds	0.322853769
mix	rstack	10	7000	seconds	0.285094522
insert	rdeque	10	7000	seconds	0.693908474
remove	rdeque	10	7000	seconds	1.133465317
mix	rdeque	10	7000	seconds	0.859227978
insert	rpqueue	10	7000	seconds	2.506327756
remove	rpqueue	10	7000	seconds	2.373221873
mix	rpqueue	10	7000	seconds	2.42308059
insert	rstack	1	8000	seconds	0.267420151
remove	rstack	1	8000	seconds	0.354603145
mix	rstack	1	8000	seconds	0.336540471
insert	rdeque	1	8000	seconds	0.800454692
remove	rdeque	1	8000	seconds	1.24920258
mix	rdeque	1	8000	seconds	1.010255806
insert	rpqueue	1	8000	seconds	2.72902297
remove	rpqueue	1	8000	seconds	2.824712396
mix	rpqueue	1	8000	seconds	2.862396895
insert	rstack	2	8000	seconds	0.281465766
remove	rstack	2	8000	seconds	0.358198241
mix	rstack	2	8000	seconds	0.304625581
insert	rdeque	2	8000	seconds	0.789708319
remove	rdeque	2	8000	seconds	1.242402277
mix	rdeque	2	8000	seconds	1.076664573
insert	rpqueue	2	8000	seconds	2.670571613
remove	rpqueue	2	8000	seconds	2.862928121
mix	rpqueue	2	8000	seconds	2.814564952
insert	rstack	3	8000	seconds	0.291161582
remove	rstack	3	8000	seconds	0.361337314
mix	rstack	3	8000	seconds	0.30922201
insert	rdeque	3	8000	seconds	0.791596648
remove	rdeque	3	8000	seconds	1.257078736
mix	rdeque	3	8000	seconds	1.003232117
insert	rpqueue	3	8000	seconds	2.726018783
remove	rpqueue	3	8000	seconds	2.835654293
mix	rpqueue	3	8000	seconds	2.809342721
insert	rstack	4	8000	seconds	0.267364026
remove	rstack	4	8000	seconds	0.355902712
mix	rstack	4	8000	seconds	0.302607125
insert	rdeque	4	8000	seconds	0.790044981
remove	rdeque	4	8000	seconds	1.305826078
mix	rdeque	4	8000	seconds	1.005398068
insert	rpqueue	4	8000	seconds	2.688123521
remove	rpqueue	4	8000	seconds	2.951199909
mix	rpqueue	4	8000	seconds	2.842295131
insert	rstack	5	8000	seconds	0.272668971
remove	rstack	5	8000	seconds	0.357718156
mix	rstack	5	8000	seconds	0.313128712
insert	rdeque	5	8000	seconds	0.790145376
remove	rdeque	5	8000	seconds	1.259617263
mix	rdeque	5	8000	seconds	1.002741416
insert	rpqueue	5	8000	seconds	2.734355823
remove	rpqueue	5	8000	seconds	2.939985037
mix	rpqueue	5	8000	seconds	2.829511425
insert	rstack	6	8000	seconds	0.269890456
remove	rstack	6	8000	seconds	0.356035559
mix	rstack	6	8000	seconds	0.309133471
insert	rdeque	6	8000	seconds	0.788185565
remove	rdeque	6	8000	seconds	1.269789722
mix	rdeque	6	8000	seconds	0.981937413
insert	rpqueue	6	8000	seconds	2.651400631
remove	rpqueue	6	8000	seconds	2.848077431
mix	rpqueue	6	8000	seconds	2.920468875
insert	rstack	7	8000	seconds	0.266324838
remove	rstack	7	8000	seconds	0.361404424
mix	rstack	7	8000	seconds	0.306619668
insert	rdeque	7	8000	seconds	0.802581494
remove	rdeque	7	8000	seconds	1.260586076
mix	rdeque	7	8000	seconds	1.006430003
insert	rpqueue	7	8000	seconds	2.69073862
remove	rpqueue	7	8000	seconds	2.913343012
mix	rpqueue	7	8000	seconds	2.796380329
insert	rstack	8	8000	seconds	0.267617453
remove	rstack	8	8000	seconds	0.353456393
mix	rstack	8	8000	seconds	0.315384528
insert	rdeque	8	8000	seconds	0.795418579
remove	rdeque	8	8000	seconds	1.294308848
mix	rdeque	8	8000	seconds	1.005993311
insert	rpqueue	8	8000	seconds	2.680815792
remove	rpqueue	8	8000	seconds	2.885252384
mix	rpqueue	8	8000	seconds	2.836514853
insert	rstack	9	8000	seconds	0.265088341
remove	rstack	9	8000	seconds	0.35322941
mix	rstack	9	8000	seconds	0.312869601
insert	rdeque	9	8000	seconds	0.790357972
remove	rdeque	9	8000	seconds	1.26189581
mix	rdeque	9	8000	seconds	0.996003075
insert	rpqueue	9	8000	seconds	2.748789046
remove	rpqueue	9	8000	seconds	2.896356393
mix	rpqueue	9	8000	seconds	2.813157757
insert	rstack	10	8000	seconds	0.283752865
remove	rstack	10	8000	seconds	0.352143237
mix	rstack	10	8000	seconds	0.308668911
insert	rdeque	10	8000	seconds	0.830592269
remove	rdeque	10	8000	seconds	1.272277752
mix	rdeque	10	8000	seconds	0.994271858
insert	rpqueue	10	8000	seconds	2.777273397
remove	rpqueue	10	8000	seconds	2.837759489
mix	rpqueue	10	8000	seconds	2.854507919
insert	rstack	1	9000	seconds	0.31332287
remove	rstack	1	9000	seconds	0.406607726
mix	rstack	1	9000	seconds	0.337859711
insert	rdeque	1	9000	seconds	0.8972558
remove	rdeque	1	9000	seconds	1.421902374
mix	rdeque	1	9000	seconds	1.112506878
insert	rpqueue	1	9000	seconds	3.094589779
remove	rpqueue	1	9000	seconds	3.24094918
mix	rpqueue	1	9000	seconds	3.235744863
insert	rstack	2	9000	seconds	0.303800563
remove	rstack	2	9000	seconds	0.397244464
mix	rstack	2	9000	seconds	0.347642636
insert	rdeque	2	9000	seconds	0.881847801
remove	rdeque	2	9000	seconds	1.400938574
mix	rdeque	2	9000	seconds	1.124203224
insert	rpqueue	2	9000	seconds	3.104635631
remove	rpqueue	2	9000	seconds	3.150966515
mix	rpqueue	2	9000	seconds	3.220108125
insert	rstack	3	9000	seconds	0.304785611
remove	rstack	3	9000	seconds	0.401559567
mix	rstack	3	9000	seconds	0.346937148
insert	rdeque	3	9000	seconds	0.90408667
remove	rdeque	3	9000	seconds	1.414966736
mix	rdeque	3	9000	seconds	1.100862388
insert	rpqueue	3	9000	seconds	3.093439064
remove	rpqueue	3	9000	seconds	3.213085564
mix	rpqueue	3	9000	seconds	3.239311221
insert	rstack	4	9000	seconds	0.298215013
remove	rstack	4	9000	seconds	0.395889146
mix	rstack	4	9000	seconds	0.340593103
insert	rdeque	4	9000	seconds	0.889901722
remove	rdeque	4	9000	seconds	1.408775295
mix	rdeque	4	9000	seconds	1.107026627
insert	rpqueue	4	9000	seconds	3.114575888
remove	rpqueue	4	9000	seconds	3.134112827
mix	rpqueue	4	9000	seconds	3.223910012
insert	rstack	5	9000	seconds	0.304887906
remove	rstack	5	9000	seconds	0.405221762
mix	rstack	5	9000	seconds	0.33504852
insert	rdeque	5	9000	seconds	0.89361901
remove	rdeque	5	9000	seconds	1.408576012
mix	rdeque	5	9000	seconds	1.097120112
insert	rpqueue	5	9000	seconds	3.111598732
remove	rpqueue	5	9000	seconds	3.183744638
mix	rpqueue	5	9000	seconds	3.160252452
insert	rstack	6	9000	seconds	0.32295055
remove	rstack	6	9000	seconds	0.406438207
mix	rstack	6	9000	seconds	0.339950218
insert	rdeque	6	9000	seconds	0.893649718
remove	rdeque	6	9000	seconds	1.418878473
mix	rdeque	6	9000	seconds	1.09213014
insert	rpqueue	6	9000	seconds	3.150601876
remove	rpqueue	6	9000	seconds	3.182625258
mix	rpqueue	6	9000	seconds	3.191113848
insert	rstack	7	9000	seconds	0.299013017
remove	rstack	7	9000	seconds	0.405362067
mix	rstack	7	9000	seconds	0.351843844
insert	rdeque	7	9000	seconds	0.88221991
remove	rdeque	7	9000	seconds	1.42140906
mix	rdeque	7	9000	seconds	1.108574416
insert	rpqueue	7	9000	seconds	3.138853411
remove	rpqueue	7	9000	seconds	3.180624101
mix	rpqueue	7	9000	seconds	3.14775077
insert	rstack	8	9000	seconds	0.30359367
remove	rstack	8	9000	seconds	0.396045407
mix	rstack	8	9000	seconds	0.335712716
insert	rdeque	8	9000	seconds	0.899036124
remove	rdeque	8	9000	seconds	1.423387124
mix	rdeque	8	9000	seconds	1.103637297
insert	rpqueue	8	9000	seconds	3.148740333
remove	rpqueue	8	9000	seconds	3.096818489
mix	rpqueue	8	9000	seconds	3.171125028
insert	rstack	9	9000	seconds	0.30218104
remove	rstack	9	9000	seconds	0.402892371
mix	rstack	9	9000	seconds	0.349739491
insert	rdeque	9	9000	seconds	0.880999312
remove	rdeque	9	9000	seconds	1.44042272
mix	rdeque	9	9000	seconds	1.101237509
insert	rpqueue	9	9000	seconds	3.147302593
remove	rpqueue	9	9000	seconds	3.102791585
mix	rpqueue	9	9000	seconds	3.232945852
insert	rstack	10	9000	seconds	0.307550798
remove	rstack	10	9000	seconds	0.402149103
mix	rstack	10	9000	seconds	0.336226952
insert	rdeque	10	9000	seconds	0.880865779
remove	rdeque	10	9000	seconds	1.447244723
mix	rdeque	10	9000	seconds	1.102667563
insert	rpqueue	10	9000	seconds	3.161089276
remove	rpqueue	10	9000	seconds	3.098715147
mix	rpqueue	10	9000	seconds	3.171928758
insert	rstack	1	10000	seconds	0.33505689
remove	rstack	1	10000	seconds	0.440241088
mix	rstack	1	10000	seconds	0.373750567
insert	rdeque	1	10000	seconds	0.984791705
remove	rdeque	1	10000	seconds	1.604109174
mix	rdeque	1	10000	seconds	1.203118723
insert	rpqueue	1	10000	seconds	3.710523302
remove	rpqueue	1	10000	seconds	3.405366006
mix	rpqueue	1	10000	seconds	3.531472099
insert	rstack	2	10000	seconds	0.340238034
remove	rstack	2	10000	seconds	0.447216337
mix	rstack	2	10000	seconds	0.377581337
insert	rdeque	2	10000	seconds	1.013874774
remove	rdeque	2	10000	seconds	1.574150508
mix	rdeque	2	10000	seconds	1.21391312
insert	rpqueue	2	10000	seconds	3.669800828
remove	rpqueue	2	10000	seconds	3.367531913
mix	rpqueue	2	10000	seconds	3.457162171
insert	rstack	3	10000	seconds	0.329156394
remove	rstack	3	10000	seconds	0.431503822
mix	rstack	3	10000	seconds	0.375800667
insert	rdeque	3	10000	seconds	0.979011748
remove	rdeque	3	10000	seconds	1.564791935
mix	rdeque	3	10000	seconds	1.209220665
insert	rpqueue	3	10000	seconds	3.692572483
remove	rpqueue	3	10000	seconds	3.385728639
mix	rpqueue	3	10000	seconds	3.499162201
insert	rstack	4	10000	seconds	0.324932403
remove	rstack	4	10000	seconds	0.450506479
mix	rstack	4	10000	seconds	0.38181566
insert	rdeque	4	10000	seconds	0.983178603
remove	rdeque	4	10000	seconds	1.554854402
mix	rdeque	4	10000	seconds	1.204480521
insert	rpqueue	4	10000	seconds	3.661413265
remove	rpqueue	4	10000	seconds	3.470348521
mix	rpqueue	4	10000	seconds	3.460026824
insert	rstack	5	10000	seconds	0.346206841
remove	rstack	5	10000	seconds	0.447197984
mix	rstack	5	10000	seconds	0.38074701
insert	rdeque	5	10000	seconds	0.993714553
remove	rdeque	5	10000	seconds	1.598957608
mix	rdeque	5	10000	seconds	1.212502781
insert	rpqueue	5	10000	seconds	3.665527149
remove	rpqueue	5	10000	seconds	3.352072568
mix	rpqueue	5	10000	seconds	3.456454662
insert	rstack	6	10000	seconds	0.333206028
remove	rstack	6	10000	seconds	0.440183761
mix	rstack	6	10000	seconds	0.383640515
insert	rdeque	6	10000	seconds	0.972813523
remove	rdeque	6	10000	seconds	1.639736709
mix	rdeque	6	10000	seconds	1.211113337
insert	rpqueue	6	10000	seconds	3.668996978
remove	rpqueue	6	10000	seconds	3.355251501
mix	rpqueue	6	10000	seconds	3.417960822
insert	rstack	7	10000	seconds	0.330515683
remove	rstack	7	10000	seconds	0.467387757
mix	rstack	7	10000	seconds	0.380577212
insert	rdeque	7	10000	seconds	0.984849065
remove	rdeque	7	10000	seconds	1.556725629
mix	rdeque	7	10000	seconds	1.228016271
insert	rpqueue	7	10000	seconds	3.656798365
remove	rpqueue	7	10000	seconds	3.421847214
mix	rpqueue	7	10000	seconds	3.500717418
insert	rstack	8	10000	seconds	0.335975802
remove	rstack	8	10000	seconds	0.448381683
mix	rstack	8	10000	seconds	0.376858648
insert	rdeque	8	10000	seconds	0.988841204
remove	rdeque	8	10000	seconds	1.571023289
mix	rdeque	8	10000	seconds	1.247539854
insert	rpqueue	8	10000	seconds	3.614786134
remove	rpqueue	8	10000	seconds	3.357336188
mix	rpqueue	8	10000	seconds	3.4492403
insert	rstack	9	10000	seconds	0.336764205
remove	rstack	9	10000	seconds	0.441401453
mix	rstack	9	10000	seconds	0.382103278
insert	rdeque	9	10000	seconds	0.965332119
remove	rdeque	9	10000	seconds	1.576246466
mix	rdeque	9	10000	seconds	1.220747159
insert	rpqueue	9	10000	seconds	3.725688453
remove	rpqueue	9	10000	seconds	3.355429161
mix	rpqueue	9	10000	seconds	3.441664407
insert	rstack	10	10000	seconds	0.333981932
remove	rstack	10	10000	seconds	0.442043484
mix	rstack	10	10000	seconds	0.385446647
insert	rdeque	10	10000	seconds	0.977115587
remove	rdeque	10	10000	seconds	1.590871512
mix	rdeque	10	10000	seconds	1.203279653
insert	rpqueue	10	10000	seconds	3.692113911
remove	rpqueue	10	10000	seconds	3.362488962
mix	rpqueue	10	10000	seconds	3.447955143
insert	rstack	1	20000	seconds	0.770342481
remove	rstack	1	20000	seconds	0.877656326
mix	rstack	1	20000	seconds	0.751303969
insert	rdeque	1	20000	seconds	1.939377454
remove	rdeque	1	20000	seconds	3.16123122
mix	rdeque	1	20000	seconds	2.410994365
insert	rpqueue	1	20000	seconds	7.665044974
remove	rpqueue	1	20000	seconds	7.193931781
mix	rpqueue	1	20000	seconds	7.498113707
insert	rstack	2	20000	seconds	0.656927087
remove	rstack	2	20000	seconds	0.959390713
mix	rstack	2	20000	seconds	0.749593575
insert	rdeque	2	20000	seconds	1.960145414
remove	rdeque	2	20000	seconds	3.165648069
mix	rdeque	2	20000	seconds	2.401259623
insert	rpqueue	2	20000	seconds	7.633819572
remove	rpqueue	2	20000	seconds	7.332832399
mix	rpqueue	2	20000	seconds	7.322500224
insert	rstack	3	20000	seconds	0.657332718
remove	rstack	3	20000	seconds	0.876093181
mix	rstack	3	20000	seconds	0.753432381
insert	rdeque	3	20000	seconds	1.952873424
remove	rdeque	3	20000	seconds	3.138193517
mix	rdeque	3	20000	seconds	2.421836553
insert	rpqueue	3	20000	seconds	7.672369298
remove	rpqueue	3	20000	seconds	7.483458341
mix	rpqueue	3	20000	seconds	7.23346868
insert	rstack	4	20000	seconds	0.708643103
remove	rstack	4	20000	seconds	0.87344836
mix	rstack	4	20000	seconds	0.746538957
insert	rdeque	4	20000	seconds	1.940552131
remove	rdeque	4	20000	seconds	3.154606555
mix	rdeque	4	20000	seconds	2.446679236
insert	rpqueue	4	20000	seconds	7.790125708
remove	rpqueue	4	20000	seconds	7.229625894
mix	rpqueue	4	20000	seconds	7.361988728
insert	rstack	5	20000	seconds	0.653089313
remove	rstack	5	20000	seconds	0.866795563
mix	rstack	5	20000	seconds	0.762044038
insert	rdeque	5	20000	seconds	1.943149041
remove	rdeque	5	20000	seconds	3.157321167
mix	rdeque	5	20000	seconds	2.402210945
insert	rpqueue	5	20000	seconds	7.642561293
remove	rpqueue	5	20000	seconds	7.248493167
mix	rpqueue	5	20000	seconds	7.611458468
insert	rstack	6	20000	seconds	0.647000967
remove	rstack	6	20000	seconds	0.863730751
mix	rstack	6	20000	seconds	0.753714875
insert	rdeque	6	20000	seconds	1.952968758
remove	rdeque	6	20000	seconds	3.186282329
mix	rdeque	6	20000	seconds	2.425068125
insert	rpqueue	6	20000	seconds	7.617249968
remove	rpqueue	6	20000	seconds	7.379556239
mix	rpqueue	6	20000	seconds	7.523307003
insert	rstack	7	20000	seconds	0.661493189
remove	rstack	7	20000	seconds	0.86900971
mix	rstack	7	20000	seconds	0.753775065
insert	rdeque	7	20000	seconds	1.966056999
remove	rdeque	7	20000	seconds	3.186728744
mix	rdeque	7	20000	seconds	2.418510002
insert	rpqueue	7	20000	seconds	7.595056932
remove	rpqueue	7	20000	seconds	7.139397465
mix	rpqueue	7	20000	seconds	7.428978059
insert	rstack	8	20000	seconds	0.656210952
remove	rstack	8	20000	seconds	0.857361363
mix	rstack	8	20000	seconds	0.752254734
insert	rdeque	8	20000	seconds	1.99115555
remove	rdeque	8	20000	seconds	3.165788689
mix	rdeque	8	20000	seconds	2.437008569
insert	rpqueue	8	20000	seconds	7.818456293
remove	rpqueue	8	20000	seconds	7.412844328
mix	rpqueue	8	20000	seconds	7.413729943
insert	rstack	9	20000	seconds	0.669863477
remove	rstack	9	20000	seconds	0.860305399
mix	rstack	9	20000	seconds	0.741133463
insert	rdeque	9	20000	seconds	1.985609733
remove	rdeque	9	20000	seconds	3.165604142
mix	rdeque	9	20000	seconds	2.418442553
insert	rpqueue	9	20000	seconds	7.608024613
remove	rpqueue	9	20000	seconds	7.148215559
mix	rpqueue	9	20000	seconds	7.372933292
insert	rstack	10	20000	seconds	0.649157993
remove	rstack	10	20000	seconds	0.860297163
mix	rstack	10	20000	seconds	0.740392729
insert	rdeque	10	20000	seconds	1.948776435
remove	rdeque	10	20000	seconds	3.115917761
mix	rdeque	10	20000	seconds	2.417798673
insert	rpqueue	10	20000	seconds	7.636770516
remove	rpqueue	10	20000	seconds	7.442772291
mix	rpqueue	10	20000	seconds	7.374852064
insert	rstack	1	30000	seconds	0.969842749
remove	rstack	1	30000	seconds	1.282930284
mix	rstack	1	30000	seconds	1.108298324
insert	rdeque	1	30000	seconds	2.92114215
remove	rdeque	1	30000	seconds	4.802612632
mix	rdeque	1	30000	seconds	3.642598754
insert	rpqueue	1	30000	seconds	11.497238282
remove	rpqueue	1	30000	seconds	12.564900301
mix	rpqueue	1	30000	seconds	11.454055115
insert	rstack	2	30000	seconds	0.984167414
remove	rstack	2	30000	seconds	1.399839158
mix	rstack	2	30000	seconds	1.139521812
insert	rdeque	2	30000	seconds	2.962766695
remove	rdeque	2	30000	seconds	4.861254955
mix	rdeque	2	30000	seconds	3.692350024
insert	rpqueue	2	30000	seconds	11.809065594
remove	rpqueue	2	30000	seconds	12.17195551
mix	rpqueue	2	30000	seconds	11.225465072
insert	rstack	3	30000	seconds	0.975897705
remove	rstack	3	30000	seconds	1.293860784
mix	rstack	3	30000	seconds	1.114649372
insert	rdeque	3	30000	seconds	2.913474819
remove	rdeque	3	30000	seconds	4.855176024
mix	rdeque	3	30000	seconds	3.618091628
insert	rpqueue	3	30000	seconds	11.708989337
remove	rpqueue	3	30000	seconds	12.303231067
mix	rpqueue	3	30000	seconds	10.920614623
insert	rstack	4	30000	seconds	0.971684285
remove	rstack	4	30000	seconds	1.299821205
mix	rstack	4	30000	seconds	1.104343965
insert	rdeque	4	30000	seconds	2.93743518
remove	rdeque	4	30000	seconds	4.886618566
mix	rdeque	4	30000	seconds	3.666886976
insert	rpqueue	4	30000	seconds	12.083708368
remove	rpqueue	4	30000	seconds	12.174227703
mix	rpqueue	4	30000	seconds	10.956867892
insert	rstack	5	30000	seconds	0.990875868
remove	rstack	5	30000	seconds	1.296159985
mix	rstack	5	30000	seconds	1.115763564
insert	rdeque	5	30000	seconds	2.96984465
remove	rdeque	5	30000	seconds	4.88783343
mix	rdeque	5	30000	seconds	3.745032089
insert	rpqueue	5	30000	seconds	11.980596835
remove	rpqueue	5	30000	seconds	12.557489412
mix	rpqueue	5	30000	seconds	11.309924515
insert	rstack	6	30000	seconds	0.986609088
remove	rstack	6	30000	seconds	1.290921602
mix	rstack	6	30000	seconds	1.110877954
insert	rdeque	6	30000	seconds	2.976487459
remove	rdeque	6	30000	seconds	4.846586322
mix	rdeque	6	30000	seconds	3.637055421
insert	rpqueue	6	30000	seconds	11.97931944
remove	rpqueue	6	30000	seconds	12.307230316
mix	rpqueue	6	30000	seconds	11.078105683
insert	rstack	7	30000	seconds	0.973251041
remove	rstack	7	30000	seconds	1.295192118
mix	rstack	7	30000	seconds	1.105589842
insert	rdeque	7	30000	seconds	2.966522739
remove	rdeque	7	30000	seconds	4.851296157
mix	rdeque	7	30000	seconds	3.704659453
insert	rpqueue	7	30000	seconds	12.022320948
remove	rpqueue	7	30000	seconds	12.470806576
mix	rpqueue	7	30000	seconds	11.450988673
insert	rstack	8	30000	seconds	0.9668544
remove	rstack	8	30000	seconds	1.397481161
mix	rstack	8	30000	seconds	1.118305789
insert	rdeque	8	30000	seconds	2.953452289
remove	rdeque	8	30000	seconds	4.862631464
mix	rdeque	8	30000	seconds	3.702124883
insert	rpqueue	8	30000	seconds	12.047331601
remove	rpqueue	8	30000	seconds	12.250841025
mix	rpqueue	8	30000	seconds	11.083475137
insert	rstack	9	30000	seconds	0.98178213
remove	rstack	9	30000	seconds	1.297118763
mix	rstack	9	30000	seconds	1.112728223
insert	rdeque	9	30000	seconds	2.915246881
remove	rdeque	9	30000	seconds	4.881850149
mix	rdeque	9	30000	seconds	3.734190632
insert	rpqueue	9	30000	seconds	11.840093174
remove	rpqueue	9	30000	seconds	12.679675782
mix	rpqueue	9	30000	seconds	11.572875358
insert	rstack	10	30000	seconds	0.990247093
remove	rstack	10	30000	seconds	1.295993659
mix	rstack	10	30000	seconds	1.107348202
insert	rdeque	10	30000	seconds	3.015635496
remove	rdeque	10	30000	seconds	4.871566453
mix	rdeque	10	30000	seconds	3.65905426
insert	rpqueue	10	30000	seconds	11.905563767
remove	rpqueue	10	30000	seconds	12.061903303
mix	rpqueue	10	30000	seconds	11.02687391
insert	rstack	1	40000	seconds	1.2824695
remove	rstack	1	40000	seconds	1.71054723
mix	rstack	1	40000	seconds	1.504762712
insert	rdeque	1	40000	seconds	3.889721363
remove	rdeque	1	40000	seconds	6.822674923
mix	rdeque	1	40000	seconds	4.919318163
insert	rpqueue	1	40000	seconds	15.916450452
remove	rpqueue	1	40000	seconds	15.617082843
mix	rpqueue	1	40000	seconds	14.825035473
insert	rstack	2	40000	seconds	1.308311394
remove	rstack	2	40000	seconds	1.714146029
mix	rstack	2	40000	seconds	1.512161666
insert	rdeque	2	40000	seconds	3.914312068
remove	rdeque	2	40000	seconds	6.713309661
mix	rdeque	2	40000	seconds	4.958710133
insert	rpqueue	2	40000	seconds	15.846342785
remove	rpqueue	2	40000	seconds	15.626209459
mix	rpqueue	2	40000	seconds	14.884418262
insert	rstack	3	40000	seconds	1.32617698
remove	rstack	3	40000	seconds	1.724447668
mix	rstack	3	40000	seconds	1.481754987
insert	rdeque	3	40000	seconds	3.931386248
remove	rdeque	3	40000	seconds	6.808014508
mix	rdeque	3	40000	seconds	4.951453245
insert	rpqueue	3	40000	seconds	16.220179192
remove	rpqueue	3	40000	seconds	15.136157311
mix	rpqueue	3	40000	seconds	14.508711993
insert	rstack	4	40000	seconds	1.294094561
remove	rstack	4	40000	seconds	1.721756758
mix	rstack	4	40000	seconds	1.474747453
insert	rdeque	4	40000	seconds	3.96660943
remove	rdeque	4	40000	seconds	6.558077769
mix	rdeque	4	40000	seconds	4.963360185
insert	rpqueue	4	40000	seconds	15.576725705
remove	rpqueue	4	40000	seconds	15.611775948
mix	rpqueue	4	40000	seconds	14.565817806
insert	rstack	5	40000	seconds	1.338669358
remove	rstack	5	40000	seconds	1.715680718
mix	rstack	5	40000	seconds	1.477127758
insert	rdeque	5	40000	seconds	3.898504009
remove	rdeque	5	40000	seconds	6.732193535
mix	rdeque	5	40000	seconds	4.955048089
insert	rpqueue	5	40000	seconds	15.974593349
remove	rpqueue	5	40000	seconds	15.448752907
mix	rpqueue	5	40000	seconds	14.811816157
insert	rstack	6	40000	seconds	1.302256576
remove	rstack	6	40000	seconds	1.70785663
mix	rstack	6	40000	seconds	1.474675351
insert	rdeque	6	40000	seconds	3.963574557
remove	rdeque	6	40000	seconds	6.763733795
mix	rdeque	6	40000	seconds	4.996622343
insert	rpqueue	6	40000	seconds	15.754036917
remove	rpqueue	6	40000	seconds	15.657810377
mix	rpqueue	6	40000	seconds	14.603202884
insert	rstack	7	40000	seconds	1.294601594
remove	rstack	7	40000	seconds	1.718941675
mix	rstack	7	40000	seconds	1.470850557
insert	rdeque	7	40000	seconds	3.93929137
remove	rdeque	7	40000	seconds	6.588926919
mix	rdeque	7	40000	seconds	4.932311007
insert	rpqueue	7	40000	seconds	15.799061393
remove	rpqueue	7	40000	seconds	15.726399533
mix	rpqueue	7	40000	seconds	15.612981
insert	rstack	8	40000	seconds	1.357291265
remove	rstack	8	40000	seconds	1.725264476
mix	rstack	8	40000	seconds	1.456232459
insert	rdeque	8	40000	seconds	4.003555288
remove	rdeque	8	40000	seconds	6.540709704
mix	rdeque	8	40000	seconds	4.974165301
insert	rpqueue	8	40000	seconds	15.781397126
remove	rpqueue	8	40000	seconds	15.82945368
mix	rpqueue	8	40000	seconds	14.567424085
insert	rstack	9	40000	seconds	1.387235682
remove	rstack	9	40000	seconds	1.740968222
mix	rstack	9	40000	seconds	1.505376342
insert	rdeque	9	40000	seconds	3.940434564
remove	rdeque	9	40000	seconds	6.746645054
mix	rdeque	9	40000	seconds	5.004579815
insert	rpqueue	9	40000	seconds	15.928098933
remove	rpqueue	9	40000	seconds	15.411293805
mix	rpqueue	9	40000	seconds	14.966541057
insert	rstack	10	40000	seconds	1.299896891
remove	rstack	10	40000	seconds	1.708440546
mix	rstack	10	40000	seconds	1.467141821
insert	rdeque	10	40000	seconds	3.901252294
remove	rdeque	10	40000	seconds	6.85170948
mix	rdeque	10	40000	seconds	4.993344969
insert	rpqueue	10	40000	seconds	15.68526358
remove	rpqueue	10	40000	seconds	15.705721599
mix	rpqueue	10	40000	seconds	14.473324663
insert	rstack	1	50000	seconds	1.751338101
remove	rstack	1	50000	seconds	2.148594868
mix	rstack	1	50000	seconds	1.844860024
insert	rdeque	1	50000	seconds	4.902341487
remove	rdeque	1	50000	seconds	8.699069801
mix	rdeque	1	50000	seconds	6.070977994
insert	rpqueue	1	50000	seconds	23.293569801
remove	rpqueue	1	50000	seconds	17.237188589
mix	rpqueue	1	50000	seconds	19.067961694
insert	rstack	2	50000	seconds	1.60328509
remove	rstack	2	50000	seconds	2.145034118
mix	rstack	2	50000	seconds	1.844498508
insert	rdeque	2	50000	seconds	4.916501472
remove	rdeque	2	50000	seconds	8.397722889
mix	rdeque	2	50000	seconds	6.046037798
insert	rpqueue	2	50000	seconds	23.002899364
remove	rpqueue	2	50000	seconds	17.321026247
mix	rpqueue	2	50000	seconds	19.191507134
insert	rstack	3	50000	seconds	1.610735898
remove	rstack	3	50000	seconds	2.164781598
mix	rstack	3	50000	seconds	1.893731254
insert	rdeque	3	50000	seconds	4.923915243
remove	rdeque	3	50000	seconds	8.525164491
mix	rdeque	3	50000	seconds	6.096860862
insert	rpqueue	3	50000	seconds	23.074925277
remove	rpqueue	3	50000	seconds	17.093091735
mix	rpqueue	3	50000	seconds	19.062133516
insert	rstack	4	50000	seconds	1.612855159
remove	rstack	4	50000	seconds	2.146889179
mix	rstack	4	50000	seconds	1.875380438
insert	rdeque	4	50000	seconds	4.934628341
remove	rdeque	4	50000	seconds	8.350078226
mix	rdeque	4	50000	seconds	6.030777136
insert	rpqueue	4	50000	seconds	23.584774642
remove	rpqueue	4	50000	seconds	17.585247121
mix	rpqueue	4	50000	seconds	19.948524387
insert	rstack	5	50000	seconds	1.68824849
remove	rstack	5	50000	seconds	2.308147193
mix	rstack	5	50000	seconds	1.922057283
insert	rdeque	5	50000	seconds	5.13271374
remove	rdeque	5	50000	seconds	8.33968746
mix	rdeque	5	50000	seconds	6.118817157
